종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","1330000","3000","0.23","1.95908118E8"
"005380","현대차","169000","0","0.00","3.7226725E7"
"000660","SK하이닉스","47750","0","0.00","3.4762113E7"
"015760","한국전력","42700","0","0.00","2.7411866E7"
"005490","POSCO","283500","8000","2.90","2.4717468E7"
"035420","NAVER","731000","19000","2.67","2.4095718E7"
"012330","현대모비스","239500","3500","1.48","2.3313855E7"
"032830","삼성생명","115000","-1500","-1.29","2.3E7"
"017670","SK텔레콤","272500","4500","1.68","2.2003206E7"
"000270","기아차","52300","0","0.00","2.1200503E7"
"055550","신한지주","44500","50","0.11","2.1101882E7"
"105560","KB금융","36000","-150","-0.41","1.3908661E7"
"090430","아모레퍼시픽","2330000","110000","4.95","1.3620828E7"
"000810","삼성화재","285000","2500","0.88","1.3501829E7"
"051910","LG화학","180000","-1000","-0.55","1.1928798E7"
"086280","현대글로비스","308500","17000","5.83","1.156875E7"
"034220","LG디스플레이","32250","-1400","-4.16","1.1539556E7"
"034730","SK C&C","230500","17000","7.96","1.1525E7"
"033780","KT&G","78200","2100","2.76","1.0736273E7"
"003550","LG","61900","700","1.14","1.0681286E7"
"066570","LG전자","58800","-300","-0.51","9622491.0"
"051900","LG생활건강","618000","-5000","-0.80","9652046.0"
"000830","삼성물산","60700","-800","-1.30","9482418.0"
"086790","하나금융지주","32000","0","0.00","9276610.0"
"009540","현대중공업","112000","-3000","-2.61","8512000.0"
"023530","롯데쇼핑","266000","-7000","-2.56","8376577.0"
"030200","KT","31600","350","1.12","8251133.0"
"002790","아모레G","1025000","27000","2.71","8178575.0"
"006400","삼성SDI","117000","1000","0.86","8045450.0"
"096770","SK이노베이션","84000","-1100","-1.29","7767107.0"
"010130","고려아연","405500","2000","0.50","7651785.0"
"003600","SK","163000","-500","-0.31","7654775.0"
"024110","기업은행","13700","-400","-2.84","7569457.0"
"004020","현대제철","64500","1000","1.57","7517461.0"
"088350","한화생명","7950","-340","-4.10","6904814.0"
"000030","우리은행","9790","-210","-2.10","6620765.0"
"035250","강원랜드","30300","-100","-0.33","6482397.0"
"021240","코웨이","85000","800","0.95","6555608.0"
"161390","한국타이어","51600","-1100","-2.09","6391954.0"
"001800","오리온","1000000","-15000","-1.48","5974969.0"
"139480","이마트","208500","5500","2.71","5812108.0"
